symbol	number	pauling	radius
H	1	2.1	120
He	2	1	140
Li	3	0.98	182
Be	4	1.57	100
B	5	2.04	100
C	6	2.55	170
N	7	3.04	155
O	8	3.44	152
F	9	3.98	147
Ne	10	1	154
Na	11	0.93	227
Mg	12	1.31	173
Al	13	1.61	100
Si	14	1.90	210
P	15	2.19	180
S	16	2.58	180
Cl	17	3.16	175
Ar	18	1	188
K	19	0.82	275
Ca	20	1.00	200
Ga	31	1.81	187
Ge	32	2.01	200
As	33	2.18	185
Se	34	2.55	190
Br	35	2.96	185
Kr	36	1	202
Rb	37	0.82	200
Sr	38	0.95	200
In	49	1.78	193
Sn	50	1.96	217
Sb	51	2.05	200
Te	52	2.1	206
I	53	2.66	198
Xe	54	1	216
Cs	55	0.79	200
Ba	56	0.89	200
Tl	81	1.62	196
Pb	82	2.33	202
Bi	83	2.02	200
